l,n,r,n1
00FDCN038TB02,first data corporation,FE,firstenergy corp
ACOSTAIN_TLB,acosta inc,AA,alcoa inc
ALIANTHLD_TLB,alliant holdings i inc,ALZSE,allianz se
BL0053274,black lion beverages iii bv,BDK,black decker corp
BLACKPG_TLB2,black press group ltd,BDK,black decker corp
BLACKPUS_TLB1,black press us partnership,BDK,black decker corp
CARDNLHLT_DTL,cardinal health 409 inc,CAH,cardinal health inc
CENTRALG_TL,central garden pet co,CENTRI,centrica plc
CONSTEL_NTBTL,constellation brands,CEG,constellation engy gp inc
DAIMCHY_TLB,daimlerchrysler financial services americas llc,DAMLR,daimler ag
DIRECTVH_TLB,directv holdings finance,DTV-Hldgs,directv hldgs llc
DIRECTV_TRCTL,directv holdings llc,DTV-Hldgs,directv hldgs llc
FREESCALE_TLB,freescale semiconductor inc,FSL,freescale semiconductor inc
GODYER_NSLTL,goodyear tire rubber company,GT,goodyear tire rubr co
H00060023TB02,hellerman tyton beta sarl ltd,OTE,hellenic telecom org sa
HERTZCR_SYNLC,hertz corp,F-Hertz,hertz corp
I0004Z029TB01,ista,SFI,istar finl inc
JOHNSON_DDTL,johnson diversey inc,JCI,johnson ctls inc
JOHNSON_DDTL,johnson diversey inc,JNJ,johnson johnson
L00057018TB01,la farge,LAFCP,lafarge
L00059014TB03,lincoln holding,LNC,lincoln natl corp
MERRILLCO_TLB,merrill communications llc,MER,merrill lynch co inc
METROGLD_TRBT,metro goldwyn mayer studios inc,METFNL,metro ag
NIELSENF_TL,nielsen finance vnu,NIECO,nielsen co
NWAIRLINE_DTL,northwest airlines inc,NOC,northrop grumman corp
RHDONNE_NTDTL,r h donnelley inc,DNY,r r donnelley sons co
ROYALTYPF_TLB,royalty pharma finance trust,RBOS-RBOSplc,royal bk scotland plc
ROYALTYPF_TLB,royalty pharma finance trust,RDSPLC,royal dutch shell plc
S0008B043TB01,springer science kap global,S,sprint nextel corp
SOUTHEDGE_TLC,south edge llc,LUV,southwest airls co
STHRNWINE_TB,southern wine spirits,LUV,southwest airls co
TRANSDIGM_TLB,transdigm inc,RIG,transocean inc
TRNSNTSVC_TLB,transaction network services,RIG,transocean inc
V0002B037TB01,nielsen finance llc,NIECO,nielsen co
W0003R022TB01,wind,WINDS,windstream corp
W0003S038TB01,wolters kluwer education,WOLKLU,wolters kluwer n v
WINDSTRM_TRB1,windstream corporation inc,WINDS,windstream corp
gsc02496,edp european dental partners holding gmbh,EDP,edp energias de portugal sa
gsc02558,metroweb,METFNL,metro ag
gsc02872,black lion beverages iii b v,BDK,black decker corp
gsc20576,telenet bidco nv,TELNOR,telenor asa
